,Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume
12/22/2021,3624,3636.800049,3606.25,3630.75,3510.277588,1224328
12/21/2021,3582.649902,3641.199951,3566.399902,3608.300049,3488.572266,2340989
12/20/2021,3589,3606,3510.149902,3556.899902,3438.877686,2312310
12/17/2021,3602.5,3651.350098,3573.699951,3584.350098,3465.416992,4333992
12/16/2021,3582,3608.449951,3570,3581.600098,3462.758301,2072320
12/15/2021,3620,3623,3558.149902,3570.350098,3451.881592,1603233
12/14/2021,3605,3635,3576.699951,3623.800049,3503.55835,1747007
12/13/2021,3650,3662,3601.699951,3609.649902,3489.877197,1883864
12-10-2021,3585,3642,3575.100098,3636.800049,3516.126709,1510718
12-09-2021,3610,3634.75,3566,3601.75,3482.239502,1567957
12-08-2021,3601,3646.449951,3601,3626.899902,3506.554932,1428660
12-07-2021,3562.5,3598,3524.300049,3584.5,3465.562256,1484458
12-06-2021,3640.449951,3658,3522,3536.399902,3419.057617,1849642
12-03-2021,3646.449951,3665.949951,3630.850098,3640.449951,3519.655273,2486263
12-02-2021,3589.199951,3648,3574.100098,3642.899902,3522.023926,3152938
12-01-2021,3535,3590,3535,3577.800049,3459.084229,2102118
11/30/2021,3491,3563.75,3491,3529.149902,3412.04834,5588446
11/29/2021,3447.149902,3529.350098,3406.449951,3502,3385.799316,2981745
11/26/2021,3425,3490,3411.899902,3446.850098,3332.479492,1941251
11/25/2021,3443.899902,3463,3434.050049,3445.899902,3331.560791,1849619
11/24/2021,3472.199951,3493.050049,3424,3443.300049,3329.047363,2161746
11/23/2021,3445,3480.949951,3407.800049,3464.25,3349.302246,2153461
11/22/2021,3478.399902,3515.949951,3440.300049,3458.399902,3343.645996,3167936
11/18/2021,3515.149902,3520.850098,3451.600098,3475.699951,3360.37207,2136598
11/17/2021,3550.600098,3562.850098,3506.399902,3521.899902,3405.039063,1632914
11/16/2021,3569,3575.550049,3542,3556.399902,3438.394043,2013204
11/15/2021,3528,3569.600098,3528,3553.300049,3435.397217,1809157
11-12-2021,3506,3534.149902,3485.699951,3526.050049,3409.051514,1747259
11-11-2021,3480,3510.050049,3436,3488.199951,3372.457031,1284514
11-10-2021,3498,3519.699951,3480.199951,3484.300049,3368.686768,1516489
11-09-2021,3508,3535,3496,3505.699951,3389.376221,1782692
11-08-2021,3548,3548,3481.199951,3502.75,3386.524414,2526082
11-04-2021,3512.949951,3513.25,3505,3508.649902,3392.228516,328991
11-03-2021,3504.199951,3519.899902,3466.050049,3492.25,3376.372803,1537639
11-02-2021,3494,3513.600098,3469.75,3484.199951,3368.589844,3087414
11-01-2021,3437.949951,3487,3412.949951,3476.399902,3361.049072,2020718
10/29/2021,3400.050049,3461,3385.949951,3397.75,3285.008789,3960501
10/28/2021,3518,3518,3415,3421.649902,3308.115479,2424942
10/27/2021,3483,3511.25,3483,3489.75,3373.956055,2510813
10/26/2021,3494.5,3529,3475,3482.600098,3367.043213,3878763
10/25/2021,3503,3514.550049,3450,3492.949951,3377.049805,2595594
10/22/2021,3560,3561.600098,3485,3498.850098,3382.75415,2691670
10/21/2021,3604.100098,3607.449951,3511.25,3532.5,3415.287598,4871211
10/20/2021,3612,3630,3578.300049,3608.850098,3489.104248,2933693
10/19/2021,3669,3690.100098,3625.199951,3634.149902,3513.564453,3135441
10/18/2021,3603.449951,3652.699951,3601.449951,3647.149902,3526.133057,3590107
10/14/2021,3625,3670,3608.199951,3611.449951,3491.617676,6442299
10/13/2021,3650,3675.449951,3645,3655.199951,3527.148193,3545655
10-12-2021,3706,3707,3630.600098,3652.850098,3524.880615,5752877
10-11-2021,3755,3757.5,3660,3685.600098,3556.483643,11845402
10-08-2021,3925,3989.899902,3900,3935.649902,3797.772949,2934339
10-07-2021,3830,3899,3820.050049,3892.899902,3756.520752,1647233
10-06-2021,3836,3857.449951,3795,3810.899902,3677.393555,1678154
10-05-2021,3754,3840,3741.600098,3833.300049,3699.008789,1877966
10-04-2021,3724.800049,3783.649902,3707.449951,3773.300049,3641.11084,1356860
10-01-2021,3781.75,3810,3725,3730.199951,3599.520752,1578374
9/30/2021,3805,3805,3750.100098,3775.550049,3643.281982,2252412
9/29/2021,3759.800049,3806,3722.149902,3791.899902,3659.059326,2489161
9/28/2021,3850,3850,3751.25,3779.149902,3646.756104,2253075
9/27/2021,3900,3904,3802.899902,3836.949951,3702.531006,1673362
9/24/2021,3890,3944.399902,3855,3871.300049,3735.677734,2320754
9/23/2021,3870,3879,3835,3869.25,3733.699463,2003869
9/22/2021,3862.5,3896.850098,3852.449951,3862.149902,3726.848145,1744067
9/21/2021,3858,3871.550049,3821.649902,3862.949951,3727.620117,1568129
9/20/2021,3809,3871,3807.850098,3823.5,3689.552246,2002008
9/17/2021,3920,3945,3805,3827.850098,3693.75,6477148
9/16/2021,3930,3981.75,3892.100098,3903.300049,3766.556885,2946666
9/15/2021,3882.100098,3980,3866,3954.550049,3816.010986,2461369
9/14/2021,3849.949951,3896.5,3825,3885.899902,3749.766357,1991188
9/13/2021,3767,3852.399902,3767,3845.350098,3710.636719,1691473
09-09-2021,3789.699951,3808.699951,3765,3791.399902,3658.57666,1441148
09-08-2021,3810,3815,3756,3774.149902,3641.930664,4147175
09-07-2021,3864,3869.949951,3808.25,3815.899902,3682.218262,1585039
09-06-2021,3849.699951,3877.600098,3814,3852,3717.053711,1723693
09-03-2021,3825,3856.899902,3804.550049,3842.050049,3707.452148,1746812
09-02-2021,3734,3859.149902,3722,3836.75,3702.338135,3403717
09-01-2021,3796,3816.699951,3707,3714.949951,3584.805176,2643336
8/31/2021,3709.399902,3804.100098,3703.449951,3786.449951,3653.800049,3207480
8/30/2021,3715,3740.350098,3687.600098,3701.300049,3571.633301,2033114
8/27/2021,3666,3729.5,3651.100098,3720.149902,3589.822998,3944728
